Value,Qty,Use
PCB,1,Electronics
10uF/10V(20%),1,Electronics
0.1uF/50V(10%),3,Electronics
22uF/10V(20%),1,Electronics
22uF,2,Electronics
0.1uF,2,Electronics
IN4007,1,Electronics
LESD5D5.0CT1G,3,Electronics
LED,1,Electronics
1N5819,2,Electronics
USB_C_Receptacle_USB2.0_14P,1,Electronics
Screw_Terminal_01x02,1,Electronics
SS8050,2,Electronics
IRLML2502TRPBF,1,Electronics
22.1K(1%),1,Electronics
47.5k(1%),1,Electronics
2K(5%),1,Electronics
0R,2,Electronics
10K(5%),3,Electronics
10K(5%)NC,1,Electronics
2K,1,Electronics
1K THT,1,Electronics
SW_Push,2,Electronics
ESP32-WROOM-32,1,Electronics
CP2102N-Axx-xQFN28,2,Electronics
AMS1117-3.3,1,Electronics
5V 3A Power Supply Type- C,1,Electronics
Solenoid Valve 5V,1,Electronics/Plumbing
"10M 1/4"" hose and Misting set",1,Plumbing
"3M  1/3"" Hose and Adapter",1,Plumbing

